run_id,wind_regime,qsat,q0ratio,qshift_ratio,lambda2_mean,lambda2_std,outflux_mode,dt,n_steps_run,n_dunes_final,mean_width_final,std_width_final,mean_asymmetry_final,calving_count,collision_count,merging_count,exchange_count,fragmentation_count,calving_rate,seed
run_9a22a245,unimodal,30.0,0.0,0.0,1.8,0.0,Duran,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_36ec2755,unimodal,30.0,0.0,0.0,1.8,0.0,Hersen,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_2dfd3041,unimodal,30.0,0.0,0.0,1.8,0.25,Hersen,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_d7df0708,unimodal,30.0,0.0,0.0,1.8,0.25,Duran,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_ebb42c23,unimodal,30.0,0.0,0.0,1.8,0.5,Duran,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_a6f42309,unimodal,30.0,0.0,0.1,1.8,0.0,Hersen,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_1d824e97,unimodal,30.0,0.0,0.0,1.8,0.5,Hersen,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_a05a5557,unimodal,30.0,0.0,0.1,1.8,0.0,Duran,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_d089f587,unimodal,30.0,0.0,0.1,1.8,0.25,Hersen,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_6fc77623,unimodal,30.0,0.0,0.1,1.8,0.5,Hersen,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_e0b23243,unimodal,30.0,0.0,0.1,1.8,0.25,Duran,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_ed57241f,unimodal,30.0,0.0,0.1,1.8,0.5,Duran,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_4334f29b,unimodal,30.0,0.0,0.15,1.8,0.0,Hersen,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_fe895140,unimodal,30.0,0.0,0.15,1.8,0.25,Hersen,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_bc687072,unimodal,30.0,0.0,0.15,1.8,0.0,Duran,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_b0315990,unimodal,30.0,0.0,0.15,1.8,0.25,Duran,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_95a88865,unimodal,30.0,0.0,0.15,1.8,0.5,Hersen,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_b3657102,unimodal,30.0,0.0,0.15,1.8,0.5,Duran,0.125,1415,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_2d49a3b8,unimodal,30.0,0.1,0.0,1.8,0.0,Hersen,0.740088888888889,2000,183,88.02969273350332,29.100255740084368,0.07934555725747128,1256,1370,763,587,20,0.628,980330
run_404bbb11,unimodal,30.0,0.1,0.0,1.8,0.0,Duran,0.740088888888889,2000,16,58.669924654507234,26.169530985920115,0.1364740376899914,694,269,256,12,1,0.347,980330
run_3155b8fd,unimodal,30.0,0.1,0.0,1.8,0.25,Hersen,0.740088888888889,2000,194,84.9342418713089,23.40527370873881,0.08092718039301813,1374,1465,877,575,13,0.687,980330
run_a26424da,unimodal,30.0,0.1,0.0,1.8,0.25,Duran,0.740088888888889,2000,18,63.27253055316319,23.864450683107695,0.028697295017999384,642,279,263,15,1,0.321,980330
run_f5cea34b,unimodal,30.0,0.1,0.0,1.8,0.5,Hersen,0.740088888888889,2000,180,83.09260617700623,29.52706391087466,0.07611311320305578,3414,2726,2133,572,21,1.707,980330
run_62341d6f,unimodal,30.0,0.1,0.0,1.8,0.5,Duran,0.740088888888889,2000,16,63.50626386673984,26.906882124655457,0.08433207575152704,1222,533,513,19,1,0.611,980330
run_6e1c7993,unimodal,30.0,0.1,0.1,1.8,0.0,Hersen,0.740088888888889,2000,337,50.64574928651365,38.82358530507382,0.4108105786383749,39,2121,750,912,459,0.0195,980330
run_74ed3b32,unimodal,30.0,0.1,0.1,1.8,0.0,Duran,0.740088888888889,2000,134,13.919970886782762,20.77554988332762,0.8721454807059368,1035,337,147,116,74,0.5175,980330
run_71c5f5bf,unimodal,30.0,0.1,0.1,1.8,0.25,Hersen,0.740088888888889,2000,295,54.69190893983359,38.06659820652832,0.3591341532567748,413,2277,856,937,484,0.2065,980330
run_405e5675,unimodal,30.0,0.1,0.1,1.8,0.25,Duran,0.740088888888889,2000,112,17.33272959134322,23.923829588499984,0.819261292226698,1179,332,141,103,88,0.5895,980330
